CNES 0 Recursos Humanos 0 Profissionais 0 Indivíduos 0 segundo CBO 2002 0 Minas Gerais;;;;;;
Quantidade por Ano/mês compet. e Esfera Administrativa;;;;;;
Ocupações de Nível Superior: Professor de Terapia Ocupacional, Terapeuta ocupacional;;;;;;
Ocupações em geral: Professor de Terapia Ocupacional, Terapeuta ocupacional;;;;;;
Atende no SUS: Sim;;;;;;
Período:Ago/20070Jun/2021;;;;;;
Ano/mês compet.;Federal;Estadual;Municipal;Privada;Esfera não informada;Total
2007/Ago;14;53;219;215;0;501
2007/Set;14;53;221;218;0;506
2007/Out;14;54;224;217;0;509
2007/Nov;16;55;227;218;0;516
2007/Dez;15;54;233;222;0;524
2008/Jan;20;52;228;238;0;538
2008/Fev;23;51;226;239;0;539
2008/Mar;22;49;230;247;0;548
2008/Abr;22;49;234;250;0;555
2008/Mai;23;49;238;254;0;564
2008/Jun;23;50;239;260;0;572
2008/Jul;24;49;249;260;0;582
2008/Ago;24;49;261;262;0;596
2008/Set;24;50;266;270;0;610
2008/Out;24;51;272;276;0;623
2008/Nov;23;52;274;279;0;628
2008/Dez;23;51;273;284;0;631
2009/Jan;23;51;275;285;0;634
2009/Fev;23;52;278;285;0;638
2009/Mar;23;52;286;288;0;649
2009/Abr;23;54;289;292;0;658
2009/Mai;23;54;292;290;0;659
2009/Jun;25;54;294;290;0;663
2009/Jul;25;55;298;294;0;672
2009/Ago;24;54;301;295;0;674
2009/Set;24;54;304;296;0;678
2009/Out;23;55;311;301;0;690
2009/Nov;23;55;311;305;0;694
2009/Dez;23;53;313;308;0;697
2010/Jan;24;52;314;306;0;696
2010/Fev;24;53;317;308;0;702
2010/Mar;26;52;323;307;0;708
2010/Abr;26;53;324;307;0;710
2010/Mai;27;54;320;311;0;712
2010/Jun;26;56;323;309;0;714
2010/Jul;28;57;331;304;0;720
2010/Ago;28;60;331;308;0;727
2010/Set;29;60;333;313;0;735
2010/Out;29;62;336;310;0;737
2010/Nov;30;62;344;309;0;745
2010/Dez;30;61;345;311;0;747
2011/Jan;32;61;348;310;0;751
2011/Fev;33;62;347;306;0;748
2011/Mar;34;60;353;311;0;758
2011/Abr;35;59;356;314;0;764
2011/Mai;39;57;364;310;0;770
2011/Jun;40;58;373;311;0;782
2011/Jul;37;55;371;306;0;769
2011/Ago;38;59;367;314;0;778
2011/Set;37;58;369;315;0;779
2011/Out;38;56;372;322;0;788
2011/Nov;39;57;374;319;0;789
2011/Dez;39;60;380;323;0;802
2012/Jan;39;55;390;318;0;802
2012/Fev;41;54;393;320;0;808
2012/Mar;44;55;392;320;0;811
2012/Abr;44;55;390;320;0;809
2012/Mai;46;56;391;314;0;807
2012/Jun;46;54;381;285;0;766
2012/Jul;46;59;404;308;0;817
2012/Ago;46;59;403;308;0;816
2012/Set;46;60;404;312;0;822
2012/Out;50;59;409;308;0;826
2012/Nov;50;59;413;308;0;830
2012/Dez;50;57;421;301;0;829
2013/Jan;50;58;432;301;0;841
2013/Fev;50;58;428;299;0;835
2013/Mar;50;58;434;292;0;834
2013/Abr;49;62;445;294;0;850
2013/Mai;49;62;448;299;0;858
2013/Jun;46;62;447;295;0;850
2013/Jul;47;67;442;298;0;854
2013/Ago;48;63;458;296;0;865
2013/Set;48;70;459;297;0;874
2013/Out;48;68;460;294;0;870
2013/Nov;48;68;453;294;0;863
2013/Dez;48;69;471;300;0;888
2014/Jan;48;70;477;298;0;893
2014/Fev;50;69;482;300;0;901
2014/Mar;52;70;487;296;0;905
2014/Abr;52;71;483;305;0;911
2014/Mai;53;73;486;305;0;917
2014/Jun;55;73;489;307;0;924
2014/Jul;55;73;492;306;0;926
2014/Ago;56;75;489;305;0;925
2014/Set;67;73;488;305;0;933
2014/Out;67;73;478;310;0;928
2014/Nov;68;74;479;311;0;932
2014/Dez;68;74;481;309;0;932
2015/Jan;68;76;469;310;0;923
2015/Fev;68;75;475;310;0;928
2015/Mar;53;75;477;315;0;920
2015/Abr;60;75;478;317;0;930
2015/Mai;64;73;475;312;0;924
2015/Jun;65;73;473;307;0;918
2015/Jul;67;72;480;308;0;927
2015/Ago;66;71;489;306;0;932
2015/Set;69;71;484;312;0;936
2015/Out;71;70;482;313;0;936
2015/Nov;0;0;0;0;933;933
2015/Dez;0;0;0;0;922;922
2016/Jan;0;0;0;0;915;915
2016/Fev;0;0;0;0;916;916
2016/Mar;0;0;0;0;916;916
2016/Abr;0;0;0;0;918;918
2016/Mai;0;0;0;0;921;921
2016/Jun;0;0;0;0;925;925
2016/Jul;0;0;0;0;926;926
2016/Ago;0;0;0;0;936;936
2016/Set;0;0;0;0;920;920
2016/Out;0;0;0;0;925;925
2016/Nov;0;0;0;0;932;932
2016/Dez;0;0;0;0;930;930
2017/Jan;0;0;0;0;926;926
2017/Fev;0;0;0;0;921;921
2017/Mar;0;0;0;0;929;929
2017/Abr;0;0;0;0;939;939
2017/Mai;0;0;0;0;945;945
2017/Jun;0;0;0;0;945;945
2017/Jul;0;0;0;0;945;945
2017/Ago;0;0;0;0;955;955
2017/Set;0;0;0;0;954;954
2017/Out;0;0;0;0;955;955
2017/Nov;0;0;0;0;954;954
2017/Dez;0;0;0;0;954;954
2018/Jan;0;0;0;0;959;959
2018/Fev;0;0;0;0;959;959
2018/Mar;0;0;0;0;966;966
2018/Abr;0;0;0;0;987;987
2018/Mai;0;0;0;0;993;993
2018/Jun;0;0;0;0;994;994
2018/Jul;0;0;0;0;989;989
2018/Ago;0;0;0;0;991;991
2018/Set;0;0;0;0;990;990
2018/Out;0;0;0;0;991;991
2018/Nov;0;0;0;0;987;987
2018/Dez;0;0;0;0;981;981
2019/Jan;0;0;0;0;978;978
2019/Fev;0;0;0;0;982;982
2019/Mar;0;0;0;0;983;983
2019/Abr;0;0;0;0;994;994
2019/Mai;0;0;0;0;998;998
2019/Jun;0;0;0;0;993;993
2019/Jul;0;0;0;0;1001;1001
2019/Ago;0;0;0;0;1004;1004
2019/Set;0;0;0;0;1009;1009
2019/Out;0;0;0;0;1003;1003
2019/Nov;0;0;0;0;1005;1005
2019/Dez;0;0;0;0;1004;1004
2020/Jan;0;0;0;0;998;998
2020/Fev;0;0;0;0;995;995
2020/Mar;0;0;0;0;991;991
2020/Abr;0;0;0;0;991;991
2020/Mai;0;0;0;0;988;988
2020/Jun;0;0;0;0;988;988
2020/Jul;0;0;0;0;993;993
2020/Ago;0;0;0;0;994;994
2020/Set;0;0;0;0;991;991
2020/Out;0;0;0;0;995;995
2020/Nov;0;0;0;0;993;993
2020/Dez;0;0;0;0;987;987
2021/Jan;0;0;0;0;988;988
2021/Fev;0;0;0;0;977;977
2021/Mar;0;0;0;0;974;974
2021/Abr;0;0;0;0;976;976
2021/Mai;0;0;0;0;983;983
2021/Jun;0;0;0;0;984;984
