CNES 0 Recursos Humanos 0 Profissionais 0 Indivíduos 0 segundo CBO 2002 0 Minas Gerais;;;;;;;;;;;
Quantidade por Ano/mês compet. e Natureza;;;;;;;;;;;
Ocupações de Nível Superior: Professor de Terapia Ocupacional, Terapeuta ocupacional;;;;;;;;;;;
Ocupações em geral: Professor de Terapia Ocupacional, Terapeuta ocupacional;;;;;;;;;;;
Atende no SUS: Não;;;;;;;;;;;
Período:Ago/20070Jun/2021;;;;;;;;;;;
Ano/mês compet.;Ano;Mês;Adm.Dir.Saúde;Fund.Pública;Empr.Privada;Fund.Privada;Cooperativa;S.Soc.Autônomo;Ent.s/fins.Lucrat.;Natureza não informada;Total
2007-08-01;2007;Ago;0;0;36;0;0;1;22;0;59
2007-09-01;2007;Set;0;0;34;1;0;1;21;0;57
2007-10-01;2007;Out;0;0;35;1;0;1;23;0;60
2007-11-01;2007;Nov;0;0;38;1;0;1;21;0;61
2007-12-01;2007;Dez;0;0;34;1;0;1;23;0;59
2008-01-01;2008;Jan;0;1;34;1;0;1;21;0;58
2008-02-01;2008;Fev;0;1;37;1;0;1;23;0;63
2008-03-01;2008;Mar;0;1;37;1;0;1;22;0;62
2008-04-01;2008;Abr;0;1;41;1;0;1;22;0;66
2008-05-01;2008;Mai;0;0;42;1;0;1;21;0;65
2008-06-01;2008;Jun;0;0;46;1;0;1;22;0;70
2008-07-01;2008;Jul;0;0;46;0;0;1;23;0;70
2008-08-01;2008;Ago;0;0;47;0;0;1;23;0;71
2008-09-01;2008;Set;0;0;49;0;0;1;24;0;74
2008-10-01;2008;Out;0;0;51;0;0;1;24;0;76
2008-11-01;2008;Nov;0;0;52;0;0;1;25;0;78
2008-12-01;2008;Dez;0;0;54;0;0;1;25;0;80
2009-01-01;2009;Jan;0;0;55;0;0;1;25;0;81
2009-02-01;2009;Fev;1;0;53;0;0;1;25;0;80
2009-03-01;2009;Mar;1;0;53;0;0;1;25;0;80
2009-04-01;2009;Abr;1;0;57;0;0;1;25;0;84
2009-05-01;2009;Mai;1;0;59;0;0;1;23;0;84
2009-06-01;2009;Jun;1;0;60;0;0;1;23;0;85
2009-07-01;2009;Jul;1;0;60;0;0;1;23;0;85
2009-08-01;2009;Ago;1;0;60;0;1;1;23;0;86
2009-09-01;2009;Set;0;0;60;0;1;1;23;0;85
2009-10-01;2009;Out;0;0;60;0;1;1;22;0;84
2009-11-01;2009;Nov;0;0;61;0;1;1;22;0;85
2009-12-01;2009;Dez;0;0;64;0;2;1;21;0;88
2010-01-01;2010;Jan;0;0;66;0;1;1;21;0;89
2010-02-01;2010;Fev;0;0;65;0;1;1;21;0;88
2010-03-01;2010;Mar;0;0;67;0;1;1;21;0;90
2010-04-01;2010;Abr;0;0;68;0;1;1;21;0;91
2010-05-01;2010;Mai;0;0;69;0;1;1;20;0;91
2010-06-01;2010;Jun;0;0;69;0;1;1;20;0;91
2010-07-01;2010;Jul;0;0;71;0;1;1;20;0;93
2010-08-01;2010;Ago;0;0;72;0;1;1;20;0;94
2010-09-01;2010;Set;0;0;70;0;1;1;21;0;93
2010-10-01;2010;Out;0;0;68;0;1;1;22;0;92
2010-11-01;2010;Nov;0;0;68;0;1;1;22;0;92
2010-12-01;2010;Dez;0;0;69;0;1;1;22;0;93
2011-01-01;2011;Jan;0;0;70;0;1;1;22;0;94
2011-02-01;2011;Fev;0;0;71;0;1;1;29;0;102
2011-03-01;2011;Mar;0;0;73;0;2;1;30;0;106
2011-04-01;2011;Abr;0;0;75;0;1;1;30;0;107
2011-05-01;2011;Mai;0;0;76;0;1;1;30;0;108
2011-06-01;2011;Jun;1;0;75;0;1;1;30;0;108
2011-07-01;2011;Jul;1;0;75;0;3;1;30;0;110
2011-08-01;2011;Ago;1;0;76;0;2;0;29;0;108
2011-09-01;2011;Set;1;0;77;0;2;0;30;0;110
2011-10-01;2011;Out;1;0;77;0;4;0;29;0;111
2011-11-01;2011;Nov;1;0;78;0;4;0;29;0;112
2011-12-01;2011;Dez;1;0;76;0;4;0;29;0;110
2012-01-01;2012;Jan;1;0;75;0;5;0;29;0;110
2012-02-01;2012;Fev;1;0;77;0;5;0;30;0;113
2012-03-01;2012;Mar;1;0;77;0;5;0;32;0;115
2012-04-01;2012;Abr;1;0;77;0;5;0;32;0;115
2012-05-01;2012;Mai;1;0;77;0;5;0;22;0;105
2012-06-01;2012;Jun;1;0;79;0;5;0;21;0;106
2012-07-01;2012;Jul;1;0;79;0;5;0;22;0;107
2012-08-01;2012;Ago;1;0;79;0;5;1;23;0;109
2012-09-01;2012;Set;1;0;79;0;5;1;23;0;109
2012-10-01;2012;Out;1;0;78;0;3;1;21;0;104
2012-11-01;2012;Nov;1;0;81;0;3;1;20;0;106
2012-12-01;2012;Dez;1;0;81;0;3;1;20;0;106
2013-01-01;2013;Jan;1;0;81;0;3;1;20;0;106
2013-02-01;2013;Fev;1;0;84;0;3;1;21;0;110
2013-03-01;2013;Mar;1;0;86;0;3;1;21;0;112
2013-04-01;2013;Abr;1;0;85;0;2;1;21;0;110
2013-05-01;2013;Mai;1;0;86;0;2;1;21;0;111
2013-06-01;2013;Jun;1;0;89;0;2;1;20;0;113
2013-07-01;2013;Jul;1;0;90;0;2;1;21;0;115
2013-08-01;2013;Ago;1;0;93;0;2;1;13;0;110
2013-09-01;2013;Set;0;0;94;0;2;1;11;0;108
2013-10-01;2013;Out;0;0;92;0;2;1;11;0;106
2013-11-01;2013;Nov;0;0;93;0;2;1;11;0;107
2013-12-01;2013;Dez;0;0;93;0;2;1;11;0;107
2014-01-01;2014;Jan;0;0;94;0;2;1;11;0;108
2014-02-01;2014;Fev;0;0;95;0;2;1;11;0;109
2014-03-01;2014;Mar;0;0;97;0;3;1;12;0;113
2014-04-01;2014;Abr;0;0;96;0;3;1;12;0;112
2014-05-01;2014;Mai;0;0;97;0;3;1;11;0;112
2014-06-01;2014;Jun;0;0;98;0;3;1;11;0;113
2014-07-01;2014;Jul;0;0;100;0;2;1;12;0;115
2014-08-01;2014;Ago;0;0;95;0;3;1;13;0;112
2014-09-01;2014;Set;0;0;97;0;4;1;13;0;115
2014-10-01;2014;Out;0;0;100;0;4;1;14;0;119
2014-11-01;2014;Nov;0;0;102;0;4;1;13;0;120
2014-12-01;2014;Dez;0;0;103;0;4;1;13;0;121
2015-01-01;2015;Jan;0;0;104;0;4;1;14;0;123
2015-02-01;2015;Fev;0;0;105;0;4;1;15;0;125
2015-03-01;2015;Mar;0;0;113;0;4;1;16;0;134
2015-04-01;2015;Abr;0;0;114;0;4;1;17;0;136
2015-05-01;2015;Mai;0;0;117;0;4;1;18;0;140
2015-06-01;2015;Jun;0;0;117;0;3;1;18;0;139
2015-07-01;2015;Jul;0;0;117;0;3;1;19;0;140
2015-08-01;2015;Ago;0;0;117;0;3;1;20;0;141
2015-09-01;2015;Set;0;0;116;0;3;1;20;0;140
2015-10-01;2015;Out;0;0;118;0;3;1;19;0;141
2015-11-01;2015;Nov;0;0;0;0;0;0;0;144;144
2015-12-01;2015;Dez;0;0;0;0;0;0;0;145;145
2016-01-01;2016;Jan;0;0;0;0;0;0;0;147;147
2016-02-01;2016;Fev;0;0;0;0;0;0;0;147;147
2016-03-01;2016;Mar;0;0;0;0;0;0;0;146;146
2016-04-01;2016;Abr;0;0;0;0;0;0;0;148;148
2016-05-01;2016;Mai;0;0;0;0;0;0;0;153;153
2016-06-01;2016;Jun;0;0;0;0;0;0;0;156;156
2016-07-01;2016;Jul;0;0;0;0;0;0;0;156;156
2016-08-01;2016;Ago;0;0;0;0;0;0;0;157;157
2016-09-01;2016;Set;0;0;0;0;0;0;0;174;174
2016-10-01;2016;Out;0;0;0;0;0;0;0;173;173
2016-11-01;2016;Nov;0;0;0;0;0;0;0;171;171
2016-12-01;2016;Dez;0;0;0;0;0;0;0;174;174
2017-01-01;2017;Jan;0;0;0;0;0;0;0;172;172
2017-02-01;2017;Fev;0;0;0;0;0;0;0;172;172
2017-03-01;2017;Mar;0;0;0;0;0;0;0;173;173
2017-04-01;2017;Abr;0;0;0;0;0;0;0;175;175
2017-05-01;2017;Mai;0;0;0;0;0;0;0;175;175
2017-06-01;2017;Jun;0;0;0;0;0;0;0;175;175
2017-07-01;2017;Jul;0;0;0;0;0;0;0;179;179
2017-08-01;2017;Ago;0;0;0;0;0;0;0;180;180
2017-09-01;2017;Set;0;0;0;0;0;0;0;179;179
2017-10-01;2017;Out;0;0;0;0;0;0;0;180;180
2017-11-01;2017;Nov;0;0;0;0;0;0;0;178;178
2017-12-01;2017;Dez;0;0;0;0;0;0;0;180;180
2018-01-01;2018;Jan;0;0;0;0;0;0;0;179;179
2018-02-01;2018;Fev;0;0;0;0;0;0;0;179;179
2018-03-01;2018;Mar;0;0;0;0;0;0;0;177;177
2018-04-01;2018;Abr;0;0;0;0;0;0;0;184;184
2018-05-01;2018;Mai;0;0;0;0;0;0;0;185;185
2018-06-01;2018;Jun;0;0;0;0;0;0;0;189;189
2018-07-01;2018;Jul;0;0;0;0;0;0;0;202;202
2018-08-01;2018;Ago;0;0;0;0;0;0;0;202;202
2018-09-01;2018;Set;0;0;0;0;0;0;0;204;204
2018-10-01;2018;Out;0;0;0;0;0;0;0;202;202
2018-11-01;2018;Nov;0;0;0;0;0;0;0;203;203
2018-12-01;2018;Dez;0;0;0;0;0;0;0;208;208
2019-01-01;2019;Jan;0;0;0;0;0;0;0;211;211
2019-02-01;2019;Fev;0;0;0;0;0;0;0;212;212
2019-03-01;2019;Mar;0;0;0;0;0;0;0;213;213
2019-04-01;2019;Abr;0;0;0;0;0;0;0;211;211
2019-05-01;2019;Mai;0;0;0;0;0;0;0;214;214
2019-06-01;2019;Jun;0;0;0;0;0;0;0;218;218
2019-07-01;2019;Jul;0;0;0;0;0;0;0;217;217
2019-08-01;2019;Ago;0;0;0;0;0;0;0;223;223
2019-09-01;2019;Set;0;0;0;0;0;0;0;229;229
2019-10-01;2019;Out;0;0;0;0;0;0;0;237;237
2019-11-01;2019;Nov;0;0;0;0;0;0;0;244;244
2019-12-01;2019;Dez;0;0;0;0;0;0;0;247;247
2020-01-01;2020;Jan;0;0;0;0;0;0;0;247;247
2020-02-01;2020;Fev;0;0;0;0;0;0;0;247;247
2020-03-01;2020;Mar;0;0;0;0;0;0;0;253;253
2020-04-01;2020;Abr;0;0;0;0;0;0;0;254;254
2020-05-01;2020;Mai;0;0;0;0;0;0;0;254;254
2020-06-01;2020;Jun;0;0;0;0;0;0;0;253;253
2020-07-01;2020;Jul;0;0;0;0;0;0;0;256;256
2020-08-01;2020;Ago;0;0;0;0;0;0;0;255;255
2020-09-01;2020;Set;0;0;0;0;0;0;0;257;257
2020-10-01;2020;Out;0;0;0;0;0;0;0;257;257
2020-11-01;2020;Nov;0;0;0;0;0;0;0;262;262
2020-12-01;2020;Dez;0;0;0;0;0;0;0;262;262
2021-01-01;2021;Jan;0;0;0;0;0;0;0;275;275
2021-02-01;2021;Fev;0;0;0;0;0;0;0;279;279
2021-03-01;2021;Mar;0;0;0;0;0;0;0;285;285
2021-04-01;2021;Abr;0;0;0;0;0;0;0;285;285
2021-05-01;2021;Mai;0;0;0;0;0;0;0;285;285
2021-06-01;2021;Jun;0;0;0;0;0;0;0;292;292
